variant,description,cost_per_rt,n_days,n_entries,entry_rate,p_target,p_stop,p_timeout,expectancy_R,expectancy_ci_low,expectancy_ci_high,expectancy_significant,win_rate,win_rate_ci_low,win_rate_ci_high,median_R,avg_win_R,avg_loss_R,median_risk_$,cost_model
v1_baseline,"Strict ICT: sweep close entry, 1c-tight stop, opposite OR target.",0.0,501,453,0.9041916167664671,0.16777041942604856,0.8013245033112583,0.03090507726269316,0.1318955649355965,-0.1288479794236695,0.41327904299013357,False,0.19426048565121412,0.15894039735099338,0.23399558498896247,-1.0,4.8074398164502465,-0.9984557925734397,0.38999999999998636,gross
v2_buffer_5c,"Wider 5c stop above wick, opposite OR target.",0.0,501,453,0.9041916167664671,0.18101545253863136,0.7880794701986755,0.03090507726269316,0.15970468480489103,-0.08922242758529644,0.4336357040031068,False,0.20750551876379691,0.17218543046357615,0.24508830022074976,-1.0,4.570241134043977,-0.9983691314757628,0.42999999999995,gross
v3_fixed_1R,"Tight stop, target capped at 1R.",0.0,501,453,0.9041916167664671,0.4282560706401766,0.5695364238410596,0.002207505518763797,-0.1415929203539823,-0.2345132743362832,-0.05309734513274336,True,0.4282560706401766,0.3818984547461369,0.4746136865342163,-1.0,1.0,-1.0,0.38999999999998636,gross
v4_buffer_2R,"5c-buffer stop, target 2R.",0.0,501,453,0.9041916167664671,0.33112582781456956,0.6600441501103753,0.008830022075055188,0.0059654564359191845,-0.12679456649674897,0.13879119510575444,False,0.3355408388520971,0.293598233995585,0.37969094922737306,-1.0,1.9875824695878852,-0.9980538302277436,0.42999999999995,gross
v5_pct_or_30_2R,"Stop = 30% of OR (volatility-scaled), target 2R.",0.0,501,453,0.9041916167664671,0.31788079470198677,0.6379690949227373,0.04415011037527594,0.005662635407143114,-0.11942375831768241,0.13613116461899397,False,0.33995584988962474,0.2980132450331126,0.3841059602649007,-1.0,1.9167020873698004,-0.9819215109091294,0.6839999999999691,gross
v6_confirm_or,"Confirmation entry, tight stop, opposite OR target.",0.0,501,413,0.8243512974051896,0.2397094430992736,0.6924939467312349,0.06779661016949153,-0.04606382356510338,-0.20533430174948733,0.12351559879733048,False,0.29055690072639223,0.24939467312348668,0.3365617433414044,-1.0,2.2475149947303064,-0.9854135102389913,0.629799999999932,gross
v7_buffer_confirm_2R,"Confirmation entry, 5c stop, target 2R.",0.0,501,413,0.8243512974051896,0.3075060532687651,0.6271186440677966,0.06537530266343826,0.020338071055871928,-0.10818335683451319,0.1508918058386086,False,0.3583535108958838,0.31234866828087166,0.4043583535108959,-1.0,1.8237421365394146,-0.986846086270786,0.6697999999998956,gross
v8_pct_or_30_confirm_2R,"Confirmation entry, 30%-OR stop, target 2R.",0.0,501,413,0.8243512974051896,0.3050847457627119,0.639225181598063,0.05569007263922518,-0.01772932878367599,-0.14924084551433758,0.11582521853331981,False,0.3389830508474576,0.2929782082324455,0.38498789346246975,-1.0,1.8573944392634838,-0.9793312611155531,0.6839999999999691,gross
v1_baseline,"Strict ICT: sweep close entry, 1c-tight stop, opposite OR target.",0.02,501,453,0.9041916167664671,0.16777041942604856,0.8013245033112583,0.03090507726269316,0.057700753281199856,-0.20148369127636032,0.33820369795071764,False,0.19426048565121412,0.15894039735099338,0.23399558498896247,-1.04444444444444,4.752712640528532,-1.0773570656137597,0.38999999999998636,net
v2_buffer_5c,"Wider 5c stop above wick, opposite OR target.",0.02,501,453,0.9041916167664671,0.18101545253863136,0.7880794701986755,0.03090507726269316,0.10010373565402325,-0.14965148270313045,0.37411555010109165,False,0.20750551876379691,0.17218543046357615,0.24508830022074976,-1.0400160128102534,4.519660434978324,-1.0603385261797313,0.42999999999995,net
v3_fixed_1R,"Tight stop, target capped at 1R.",0.02,501,453,0.9041916167664671,0.4282560706401766,0.5695364238410596,0.002207505518763797,-0.21578773200837897,-0.30718332746340327,-0.12550476543925793,True,0.4282560706401766,0.3818984547461369,0.4746136865342163,-1.0272121436504995,0.9324242693118528,-1.079171950055375,0.38999999999998636,net
v4_buffer_2R,"5c-buffer stop, target 2R.",0.02,501,453,0.9041916167664671,0.33112582781456956,0.6600441501103753,0.008830022075055188,-0.053635492714948586,-0.18532847352226814,0.0785271109942651,False,0.3355408388520971,0.293598233995585,0.37969094922737306,-1.0306517909571342,1.9260842768235253,-1.0566935092811085,0.42999999999995,net
v5_pct_or_30_2R,"Stop = 30% of OR (volatility-scaled), target 2R.",0.02,501,453,0.9041916167664671,0.31788079470198677,0.6379690949227373,0.04415011037527594,-0.026642034671320678,-0.15191983535407946,0.1036940207592634,False,0.33995584988962474,0.2980132450331126,0.3841059602649007,-1.0215753221521782,1.8848339559997185,-1.014451774816757,0.6839999999999691,net
v6_confirm_or,"Confirmation entry, tight stop, opposite OR target.",0.02,501,413,0.8243512974051896,0.2397094430992736,0.6924939467312349,0.06779661016949153,-0.08809590815948488,-0.24846131419387446,0.08212598794029963,False,0.29055690072639223,0.24939467312348668,0.3365617433414044,-1.0250000000000015,2.2172001397889374,-1.0322444602202725,0.629799999999932,net
v7_buffer_confirm_2R,"Confirmation entry, 5c stop, target 2R.",0.02,501,413,0.8243512974051896,0.3075060532687651,0.6271186440677966,0.06537530266343826,-0.01669301054604734,-0.14513297666752978,0.11365205209018578,False,0.3583535108958838,0.31234866828087166,0.4043583535108959,-1.0195121951219506,1.788763337093942,-1.025023348095928,0.6697999999998956,net
